t, q_1, q_2, q_3, q_4, q_5, q_1_dot, q_2_dot, q_3_dot, q_4_dot, q_5_dot, eta_1, eta_2, eta_3, eta_4, eta_1_dot, eta_2_dot, eta_3_dot, eta_4_dot, z_1, z_1_dot, y_1, y_2, y_3, y_4, y_5, y_dot_1, y_dot_2, y_dot_3, y_dot_4, y_dot_5, post_impact,
0.015,0.552355,-1.11666,0.58145,-0.584791,1.11402,-0.155611,-0.593324,2.0545,-2.28628,0.489855,-1.11666,0.58145,-0.584791,1.11402,-0.593324,2.0545,-2.28628,0.489855,0.552355,0.0832324,0.0532343,0.848126,0.0171478,0.00396087,-0.000666273,-0.333052,-0.159451,1.30556,0.240511,-0.0233357,0,
0.016,0.552207,-1.11726,0.583494,-0.587077,1.11459,-0.147922,-0.601031,2.04421,-2.28635,0.570962,-1.11726,0.583494,-0.587077,1.11459,-0.601031,2.04421,-2.28635,0.570962,0.552207,0.0886913,0.0532098,0.847965,0.018443,0.00417877,-0.000670344,-0.325826,-0.161719,1.29526,0.21786,-0.00394967,0,
0.017,0.552067,-1.11787,0.585527,-0.589363,1.11524,-0.140185,-0.608062,2.03206,-2.28633,0.657352,-1.11787,0.585527,-0.589363,1.11524,-0.608062,2.03206,-2.28633,0.657352,0.552067,0.0941439,0.0531858,0.847801,0.0197268,0.00437294,-0.000653481,-0.31808,-0.163804,1.28382,0.19413,0.0169776,0,
0.018,0.551935,-1.11848,0.587545,-0.59165,1.11599,-0.132484,-0.614483,2.01856,-2.28664,0.748443,-1.11848,0.587545,-0.59165,1.11599,-0.614483,2.01856,-2.28664,0.748443,0.551935,0.0995904,0.0531623,0.847636,0.0209984,0.00454254,-0.000614306,-0.309938,-0.165724,1.27159,0.16954,0.0392856,0,
0.019,0.55181,-1.1191,0.589549,-0.593938,1.11684,-0.124881,-0.620343,2.00405,-2.28758,0.843725,-1.1191,0.589549,-0.593938,1.11684,-0.620343,2.00405,-2.28758,0.843725,0.55181,0.105031,0.0531395,0.847468,0.0222573,0.00468688,-0.000551578,-0.301493,-0.16749,1.25883,0.144271,0.062838,0,
0.02,0.551692,-1.11973,0.591538,-0.596227,1.11778,-0.117427,-0.625677,1.98884,-2.28936,0.942741,-1.11973,0.591538,-0.596227,1.11778,-0.625677,1.98884,-2.28936,0.942741,0.551692,0.110467,0.0531173,0.847299,0.023503,0.00480543,-0.000464172,-0.29282,-0.169113,1.24574,0.118476,0.0875172,0,
0.021,0.551582,-1.12036,0.593511,-0.598519,1.11882,-0.110157,-0.630512,1.97312,-2.29212,1.04508,-1.12036,0.593511,-0.598519,1.11882,-0.630512,1.97312,-2.29212,1.04508,0.551582,0.115898,0.0530958,0.847129,0.0247355,0.00489779,-0.00035107,-0.283979,-0.170599,1.23246,0.0922797,0.11322,0,
0.022,0.551479,-1.12099,0.595468,-0.600815,1.11997,-0.103099,-0.634866,1.95706,-2.29593,1.15036,-1.12099,0.595468,-0.600815,1.11997,-0.634866,1.95706,-2.29593,1.15036,0.551479,0.121324,0.053075,0.846957,0.0259546,0.00496366,-0.000211344,-0.275017,-0.171954,1.2191,0.065792,0.139854,0,
0.023,0.551383,-1.12163,0.597409,-0.603116,1.12123,-0.096275,-0.638754,1.94078,-2.30084,1.25823,-1.12163,0.597409,-0.603116,1.12123,-0.638754,1.94078,-2.30084,1.25823,0.551383,0.126745,0.0530548,0.846784,0.0271603,0.00500286,-4.41485e-05,-0.265972,-0.173182,1.20575,0.0391067,0.167337,0,
0.024,0.551293,-1.12227,0.599333,-0.605423,1.1226,-0.0896986,-0.642186,1.92436,-2.30685,1.36835,-1.12227,0.599333,-0.605423,1.1226,-0.642186,1.92436,-2.30685,1.36835,0.551293,0.132162,0.0530355,0.84661,0.0283528,0.00501526,0.000151284,-0.256876,-0.174285,1.19247,0.0123064,0.195592,0,
0.025,0.55121,-1.12292,0.601241,-0.607737,1.12408,-0.0833804,-0.64517,1.90786,-2.31394,1.48043,-1.12292,0.601241,-0.607737,1.12408,-0.64517,1.90786,-2.31394,1.48043,0.55121,0.137575,0.0530169,0.846434,0.0295321,0.00500081,0.000375651,-0.247753,-0.175265,1.17931,-0.0145354,0.224549,0,
0.026,0.551133,-1.12357,0.603132,-0.610059,1.12568,-0.0773274,-0.647712,1.89133,-2.32209,1.59416,-1.12357,0.603132,-0.610059,1.12568,-0.647712,1.89133,-2.32209,1.59416,0.551133,0.142984,0.052999,0.846258,0.0306984,0.00495954,0.000629585,-0.238626,-0.176123,1.16629,-0.0413527,0.254143,0,
0.027,0.551061,-1.12422,0.605007,-0.61239,1.12738,-0.0715435,-0.649816,1.8748,-2.33123,1.70926,-1.12422,0.605007,-0.61239,1.12738,-0.649816,1.8748,-2.33123,1.70926,0.551061,0.148389,0.052982,0.846082,0.0318518,0.00489154,0.000913657,-0.229512,-0.176862,1.15344,-0.0680854,0.284312,0,
0.028,0.550995,-1.12487,0.606866,-0.614731,1.12921,-0.0660306,-0.651488,1.85829,-2.34131,1.82545,-1.12487,0.606866,-0.614731,1.12921,-0.651488,1.85829,-2.34131,1.82545,0.550995,0.153791,0.0529658,0.845904,0.0329926,0.00479694,0.00122838,-0.220425,-0.177482,1.14078,-0.0946785,0.314996,0,
0.029,0.550934,-1.12552,0.608707,-0.617083,1.13115,-0.0607887,-0.65273,1.84182,-2.35226,1.94249,-1.12552,0.608707,-0.617083,1.13115,-0.65273,1.84182,-2.35226,1.94249,0.550934,0.159189,0.0529504,0.845726,0.0341209,0.00467593,0.0015742,-0.211381,-0.177983,1.1283,-0.121081,0.346139,0,
0.03,0.550878,-1.12617,0.610533,-0.619447,1.13321,-0.0558163,-0.653547,1.82538,-2.36402,2.06011,-1.12617,0.610533,-0.619447,1.13321,-0.653547,1.82538,-2.36402,2.06011,0.550878,0.164583,0.0529359,0.845548,0.0352369,0.00452874,0.00195153,-0.202388,-0.178368,1.11602,-0.147246,0.377688,0,
0.031,0.550827,-1.12683,0.612342,-0.621824,1.13539,-0.0511107,-0.653942,1.80899,-2.3765,2.17808,-1.12683,0.612342,-0.621824,1.13539,-0.653942,1.80899,-2.3765,2.17808,0.550827,0.169975,0.0529223,0.84537,0.0363409,0.00435566,0.00236071,-0.193459,-0.178637,1.10394,-0.17313,0.409589,0,
0.032,0.550781,-1.12748,0.614134,-0.624214,1.13769,-0.0466683,-0.653921,1.79264,-2.38962,2.29617,-1.12748,0.614134,-0.624214,1.13769,-0.653921,1.79264,-2.38962,2.29617,0.550781,0.175363,0.0529095,0.845191,0.0374329,0.00415701,0.00280205,-0.184601,-0.17879,1.09205,-0.198691,0.441793,0,
0.033,0.550738,-1.12814,0.615911,-0.626617,1.1401,-0.042485,-0.653488,1.77633,-2.40331,2.41414,-1.12814,0.615911,-0.626617,1.1401,-0.653488,1.77633,-2.40331,2.41414,0.550738,0.180749,0.0528977,0.845012,0.0385133,0.00393314,0.00327578,-0.175822,-0.17883,1.08036,-0.22389,0.474251,0,
0.034,0.5507,-1.12879,0.617671,-0.629034,1.14263,-0.0385556,-0.652648,1.76005,-2.4175,2.5318,-1.12879,0.617671,-0.629034,1.14263,-0.652648,1.76005,-2.4175,2.5318,0.5507,0.186132,0.0528868,0.844834,0.0395821,0.00368445,0.00378212,-0.16713,-0.178757,1.06885,-0.248693,0.506915,0,
0.035,0.550665,-1.12944,0.619415,-0.631466,1.14528,-0.0348748,-0.651406,1.74381,-2.43209,2.64892,-1.12944,0.619415,-0.631466,1.14528,-0.651406,1.74381,-2.43209,2.64892,0.550665,0.191513,0.0528768,0.844655,0.0406396,0.00341137,0.00432122,-0.158532,-0.178573,1.05753,-0.273063,0.539738,0,
0.036,0.550633,-1.13009,0.621142,-0.633914,1.14805,-0.0314367,-0.649768,1.72758,-2.44702,2.76532,-1.13009,0.621142,-0.633914,1.14805,-0.649768,1.72758,-2.44702,2.76532,0.550633,0.196891,0.0528677,0.844477,0.041686,0.00311437,0.00489319,-0.150033,-0.178279,1.04638,-0.29697,0.572676,0,
0.037,0.550605,-1.13074,0.622854,-0.636376,1.15093,-0.0282351,-0.647741,1.71137,-2.4622,2.88079,-1.13074,0.622854,-0.636376,1.15093,-0.647741,1.71137,-2.4622,2.88079,0.550605,0.202267,0.0528596,0.844299,0.0427214,0.00279393,0.0054981,-0.14164,-0.177877,1.0354,-0.320383,0.605685,0,
0.038,0.55058,-1.13138,0.624549,-0.638853,1.15392,-0.0252637,-0.645332,1.69518,-2.47757,2.99517,-1.13138,0.624549,-0.638853,1.15392,-0.645332,1.69518,-2.47757,2.99517,0.55058,0.207642,0.0528525,0.844122,0.043746,0.00245057,0.00613598,-0.133357,-0.177368,1.02458,-0.343275,0.638722,0,
0.039,0.550557,-1.13203,0.626228,-0.641346,1.15703,-0.0225159,-0.642548,1.67898,-2.49305,3.10827,-1.13203,0.626228,-0.641346,1.15703,-0.642548,1.67898,-2.49305,3.10827,0.550557,0.213015,0.0528464,0.843945,0.0447599,0.00208485,0.0068068,-0.125189,-0.176754,1.01392,-0.365619,0.671745,0,
0.04,0.550537,-1.13266,0.627891,-0.643855,1.16025,-0.019985,-0.639396,1.66279,-2.50858,3.21992,-1.13266,0.627891,-0.643855,1.16025,-0.639396,1.66279,-2.50858,3.21992,0.550537,0.218386,0.0528413,0.843769,0.0457633,0.00169732,0.00751051,-0.11714,-0.176037,1.00341,-0.38739,0.704713,0,
0.041,0.55052,-1.1333,0.629537,-0.646379,1.16358,-0.0176641,-0.635886,1.64658,-2.52408,3.32998,-1.1333,0.629537,-0.646379,1.16358,-0.635886,1.64658,-2.52408,3.32998,0.55052,0.223756,0.0528372,0.843594,0.0467564,0.0012886,0.00824702,-0.109216,-0.175219,0.993035,-0.408568,0.737586,0,
0.042,0.550504,-1.13393,0.631167,-0.648918,1.16702,-0.0155464,-0.632024,1.63037,-2.5395,3.43829,-1.13393,0.631167,-0.648918,1.16702,-0.632024,1.63037,-2.5395,3.43829,0.550504,0.229125,0.0528342,0.84342,0.0477392,0.000859278,0.00901619,-0.101419,-0.174303,0.9828,-0.429129,0.770326,0,
0.043,0.55049,-1.13456,0.632782,-0.651473,1.17056,-0.0136249,-0.62782,1.61414,-2.55477,3.5447,-1.13456,0.632782,-0.651473,1.17056,-0.62782,1.61414,-2.55477,3.5447,0.55049,0.234493,0.0528321,0.843247,0.0487119,0.000410003,0.00981784,-0.0937538,-0.17329,0.972694,-0.449056,0.802895,0,
0.044,0.550479,-1.13518,0.63438,-0.654043,1.17421,-0.0118928,-0.623284,1.59789,-2.56983,3.64909,-1.13518,0.63438,-0.654043,1.17421,-0.623284,1.59789,-2.56983,3.64909,0.550479,0.23986,0.0528311,0.843075,0.0496746,-5.85792e-05,0.0106518,-0.086223,-0.172183,0.96271,-0.468331,0.835256,0,
0.045,0.550468,-1.1358,0.635961,-0.656628,1.17796,-0.0103432,-0.618423,1.58161,-2.58463,3.75133,-1.1358,0.635961,-0.656628,1.17796,-0.618423,1.58161,-2.58463,3.75133,0.550468,0.245227,0.0528312,0.842904,0.0506274,-0.0005458,0.0115177,-0.0788299,-0.170984,0.952844,-0.486938,0.867373,0,
0.046,0.550459,-1.13642,0.637526,-0.659227,1.18182,-0.00896914,-0.613249,1.56531,-2.59913,3.85129,-1.13642,0.637526,-0.659227,1.18182,-0.613249,1.56531,-2.59913,3.85129,0.550459,0.250594,0.0528323,0.842734,0.0515705,-0.00105098,0.0124154,-0.0715772,-0.169696,0.94309,-0.504863,0.89921,0,
0.047,0.550451,-1.13702,0.639075,-0.66184,1.18576,-0.00776391,-0.60777,1.54898,-2.61325,3.94888,-1.13702,0.639075,-0.66184,1.18576,-0.60777,1.54898,-2.61325,3.94888,0.550451,0.25596,0.0528346,0.842566,0.0525039,-0.00157342,0.0133446,-0.0644675,-0.168321,0.933442,-0.522092,0.930734,0,
0.048,0.550445,-1.13762,0.640608,-0.664467,1.18981,-0.00672075,-0.601997,1.53261,-2.62697,4.04398,-1.13762,0.640608,-0.664467,1.18981,-0.601997,1.53261,-2.62697,4.04398,0.550445,0.261327,0.0528379,0.842399,0.0534278,-0.00211242,0.0143049,-0.0575032,-0.166862,0.923897,-0.538616,0.961912,0,
0.049,0.550439,-1.13822,0.642124,-0.667107,1.19395,-0.00583303,-0.595939,1.51622,-2.64024,4.1365,-1.13822,0.642124,-0.667107,1.19395,-0.595939,1.51622,-2.64024,4.1365,0.550439,0.266694,0.0528422,0.842234,0.0543423,-0.00266726,0.0152958,-0.0506863,-0.165321,0.914448,-0.554424,0.992711,0,
0.05,0.550434,-1.13881,0.643624,-0.66976,1.19817,-0.00509419,-0.589608,1.49979,-2.65302,4.22636,-1.13881,0.643624,-0.66976,1.19817,-0.589608,1.49979,-2.65302,4.22636,0.550434,0.272062,0.0528477,0.84207,0.0552474,-0.00323723,0.0163171,-0.0440188,-0.163701,0.905092,-0.569508,1.0231,0,
0.051,0.550429,-1.13939,0.645107,-0.672426,1.20249,-0.00449777,-0.583012,1.48334,-2.66527,4.31346,-1.13939,0.645107,-0.672426,1.20249,-0.583012,1.48334,-2.66527,4.31346,0.550429,0.277431,0.0528543,0.841908,0.0561432,-0.00382158,0.0173682,-0.0375022,-0.162005,0.895825,-0.583861,1.05305,0,
0.052,0.550425,-1.13997,0.646574,-0.675103,1.20688,-0.00403744,-0.576164,1.46684,-2.67695,4.39774,-1.13997,0.646574,-0.675103,1.20688,-0.576164,1.46684,-2.67695,4.39774,0.550425,0.2828,0.052862,0.841748,0.0570298,-0.00441958,0.0184487,-0.0311381,-0.160235,0.886644,-0.597478,1.08252,0,
0.053,0.550422,-1.14054,0.648025,-0.677791,1.21136,-0.00370696,-0.569072,1.45032,-2.68804,4.47913,-1.14054,0.648025,-0.677791,1.21136,-0.569072,1.45032,-2.68804,4.47913,0.550422,0.288171,0.0528708,0.84159,0.0579074,-0.00503049,0.0195582,-0.0249276,-0.158394,0.877544,-0.610354,1.1115,0,
0.054,0.550418,-1.1411,0.649458,-0.680489,1.21592,-0.00350022,-0.561747,1.43377,-2.69849,4.55757,-1.1411,0.649458,-0.680489,1.21592,-0.561747,1.43377,-2.69849,4.55757,0.550418,0.293543,0.0528808,0.841433,0.0587759,-0.00565358,0.020696,-0.0188718,-0.156486,0.868523,-0.622487,1.13995,0,
0.055,0.550415,-1.14165,0.650875,-0.683197,1.22055,-0.00341123,-0.554201,1.41719,-2.7083,4.633,-1.14165,0.650875,-0.683197,1.22055,-0.554201,1.41719,-2.7083,4.633,0.550415,0.298916,0.0528918,0.841279,0.0596355,-0.00628809,0.0218616,-0.0129715,-0.154512,0.859578,-0.633875,1.16785,0,
0.056,0.550411,-1.1422,0.652276,-0.685915,1.22526,-0.00343413,-0.546443,1.40058,-2.71743,4.70538,-1.1422,0.652276,-0.685915,1.22526,-0.546443,1.40058,-2.71743,4.70538,0.550411,0.304291,0.052904,0.841127,0.0604862,-0.00693327,0.0230544,-0.00722748,-0.152476,0.850706,-0.644518,1.19517,0,
0.057,0.550408,-1.14274,0.65366,-0.688641,1.23003,-0.00356317,-0.538483,1.38395,-2.72585,4.77465,-1.14274,0.65366,-0.688641,1.23003,-0.538483,1.38395,-2.72585,4.77465,0.550408,0.309669,0.0529174,0.840976,0.0613281,-0.00758839,0.0242739,-0.00164009,-0.15038,0.841904,-0.654415,1.22188,0,
0.058,0.550404,-1.14327,0.655027,-0.691374,1.23487,-0.00379274,-0.530332,1.3673,-2.73356,4.84079,-1.14327,0.655027,-0.691374,1.23487,-0.530332,1.3673,-2.73356,4.84079,0.550404,0.315048,0.0529319,0.840828,0.0621613,-0.0082527,0.0255195,0.00379036,-0.148227,0.833171,-0.66357,1.24796,0,
0.059,0.5504,-1.14379,0.656378,-0.694115,1.23978,-0.00411737,-0.522001,1.35062,-2.74053,4.90376,-1.14379,0.656378,-0.694115,1.23978,-0.522001,1.35062,-2.74053,4.90376,0.5504,0.32043,0.0529475,0.840682,0.0629858,-0.00892546,0.0267903,0.00906374,-0.14602,0.824505,-0.671985,1.2734,0,
0.06,0.550395,-1.14431,0.657712,-0.696861,1.24474,-0.00453169,-0.513499,1.33393,-2.74674,4.96354,-1.14431,0.657712,-0.696861,1.24474,-0.513499,1.33393,-2.74674,4.96354,0.550395,0.325814,0.0529642,0.840538,0.0638017,-0.00960592,0.0280859,0.0141801,-0.143761,0.815903,-0.679663,1.29815,0,
0.061,0.55039,-1.14481,0.659029,-0.699614,1.24976,-0.00503049,-0.504837,1.31723,-2.75219,5.0201,-1.14481,0.659029,-0.699614,1.24976,-0.504837,1.31723,-2.75219,5.0201,0.55039,0.3312,0.0529821,0.840397,0.064609,-0.0102934,0.0294055,0.0191397,-0.141454,0.807364,-0.686609,1.32221,0,
0.062,0.550385,-1.14531,0.66033,-0.702371,1.25483,-0.00560866,-0.496024,1.30052,-2.75685,5.07343,-1.14531,0.66033,-0.702371,1.25483,-0.496024,1.30052,-2.75685,5.07343,0.550385,0.33659,0.0530012,0.840258,0.0654079,-0.0109871,0.0307483,0.0239428,-0.139102,0.798885,-0.692828,1.34555,0,
0.063,0.550378,-1.14579,0.661613,-0.705131,1.25996,-0.00626123,-0.48707,1.2838,-2.76073,5.12351,-1.14579,0.661613,-0.705131,1.25996,-0.48707,1.2838,-2.76073,5.12351,0.550378,0.341982,0.0530214,0.840121,0.0661984,-0.0116863,0.0321137,0.02859,-0.136706,0.790467,-0.698328,1.36815,0,
0.064,0.550371,-1.14627,0.66288,-0.707895,1.26513,-0.00698335,-0.477986,1.26708,-2.76381,5.17033,-1.14627,0.66288,-0.707895,1.26513,-0.477986,1.26708,-2.76381,5.17033,0.550371,0.347378,0.0530427,0.839987,0.0669805,-0.0123903,0.0335009,0.0330819,-0.134269,0.782107,-0.703115,1.39,0,
