t, q_1, q_2, q_3, q_4, q_5, q_1_dot, q_2_dot, q_3_dot, q_4_dot, q_5_dot, eta_1, eta_2, eta_3, eta_4, eta_1_dot, eta_2_dot, eta_3_dot, eta_4_dot, z_1, z_1_dot, y_1, y_2, y_3, y_4, y_5, y_dot_1, y_dot_2, y_dot_3, y_dot_4, y_dot_5, post_impact,
2.925,0.447159,-1.14731,0.828179,-0.832856,1.30354,0.180952,-0.00959767,0.178102,-2.3314,5.02282,-1.14731,0.828179,-0.832856,1.30354,-0.00959767,0.178102,-2.3314,5.02282,0.447159,2.30694,-0.0100031,0.833212,0.128027,-0.0638029,0.0393199,0.347686,0.0160824,0.349457,-0.354029,1.51502,0,
2.926,0.447338,-1.14732,0.828351,-0.83521,1.3086,0.179278,-0.00496956,0.172101,-2.35389,5.05849,-1.14732,0.828351,-0.83521,1.3086,-0.00496956,0.172101,-2.35389,5.05849,0.447338,2.30588,-0.00975627,0.833229,0.128374,-0.0641503,0.04085,0.348922,0.0173699,0.346409,-0.346787,1.53281,0,
2.927,0.447516,-1.14732,0.828517,-0.837585,1.31369,0.177682,-0.000346496,0.165853,-2.37515,5.09087,-1.14732,0.828517,-0.837585,1.31369,-0.000346496,0.165853,-2.37515,5.09087,0.447516,2.30485,-0.00950849,0.833248,0.128717,-0.0644899,0.042397,0.350083,0.0186639,0.343189,-0.338982,1.54971,0,
2.928,0.447692,-1.14731,0.828676,-0.83998,1.31881,0.176166,0.00426619,0.159368,-2.39518,5.11997,-1.14731,0.828676,-0.83998,1.31881,0.00426619,0.159368,-2.39518,5.11997,0.447692,2.30384,-0.00925979,0.833268,0.129057,-0.0648212,0.04396,0.351167,0.0199627,0.3398,-0.330626,1.56571,0,
2.929,0.447867,-1.1473,0.828829,-0.842394,1.32396,0.174729,0.00886332,0.152657,-2.41399,5.14581,-1.1473,0.828829,-0.842394,1.32396,0.00886332,0.152657,-2.41399,5.14581,0.447867,2.30286,-0.00901016,0.833289,0.129393,-0.0651436,0.0455381,0.352176,0.0212645,0.33625,-0.32173,1.5808,0,
2.93,0.44804,-1.14729,0.828975,-0.844825,1.32913,0.173373,0.0134399,0.145728,-2.43159,5.1684,-1.14729,0.828975,-0.844825,1.32913,0.0134399,0.145728,-2.43159,5.1684,0.44804,2.3019,-0.0087596,0.833312,0.129725,-0.0654565,0.0471303,0.353108,0.0225679,0.332541,-0.312305,1.59496,0,
2.931,0.448212,-1.14727,0.829113,-0.847273,1.33431,0.172098,0.0179909,0.138591,-2.44798,5.18775,-1.14727,0.829113,-0.847273,1.33431,0.0179909,0.138591,-2.44798,5.18775,0.448212,2.30097,-0.0085081,0.833336,0.130054,-0.0657595,0.0487357,0.353964,0.0238711,0.328679,-0.302364,1.60818,0,
2.932,0.448383,-1.14725,0.829245,-0.849737,1.33952,0.170903,0.0225117,0.131254,-2.46318,5.20389,-1.14725,0.829245,-0.849737,1.33952,0.0225117,0.131254,-2.46318,5.20389,0.448383,2.30007,-0.00825566,0.833361,0.130379,-0.0660521,0.0503534,0.354744,0.0251727,0.324669,-0.291918,1.62045,0,
2.933,0.448553,-1.14722,0.829368,-0.852214,1.34473,0.16979,0.0269978,0.123727,-2.47718,5.21684,-1.14722,0.829368,-0.852214,1.34473,0.0269978,0.123727,-2.47718,5.21684,0.448553,2.29919,-0.00800228,0.833387,0.130699,-0.0663336,0.0519824,0.355449,0.0264712,0.320516,-0.280981,1.63177,0,
2.934,0.448721,-1.14719,0.829484,-0.854704,1.34996,0.168759,0.0314445,0.116019,-2.49,5.22662,-1.14719,0.829484,-0.854704,1.34996,0.0314445,0.116019,-2.49,5.22662,0.448721,2.29834,-0.00774795,0.833415,0.131016,-0.0666038,0.0536218,0.356078,0.0277651,0.316223,-0.269566,1.64213,0,
2.935,0.448889,-1.14715,0.829593,-0.857205,1.35519,0.16781,0.0358478,0.108137,-2.50165,5.23326,-1.14715,0.829593,-0.857205,1.35519,0.0358478,0.108137,-2.50165,5.23326,0.448889,2.29751,-0.00749268,0.833444,0.131327,-0.066862,0.0552706,0.356632,0.029053,0.311795,-0.257685,1.65152,0,
2.936,0.449056,-1.14711,0.829693,-0.859718,1.36043,0.166944,0.0402033,0.10009,-2.51213,5.23678,-1.14711,0.829693,-0.859718,1.36043,0.0402033,0.10009,-2.51213,5.23678,0.449056,2.29672,-0.00723645,0.833474,0.131635,-0.067108,0.0569277,0.357113,0.0303335,0.307237,-0.245353,1.65993,0,
2.937,0.449222,-1.14707,0.829785,-0.862239,1.36567,0.166159,0.0445072,0.0918853,-2.52147,5.23721,-1.14707,0.829785,-0.862239,1.36567,0.0445072,0.0918853,-2.52147,5.23721,0.449222,2.29595,-0.00697927,0.833506,0.131937,-0.0673411,0.0585924,0.35752,0.0316054,0.302552,-0.232582,1.66736,0,
2.938,0.449388,-1.14702,0.829868,-0.864769,1.3709,0.165458,0.0487555,0.0835319,-2.52966,5.23459,-1.14702,0.829868,-0.864769,1.3709,0.0487555,0.0835319,-2.52966,5.23459,0.449388,2.2952,-0.00672115,0.833539,0.132235,-0.067561,0.0602634,0.357854,0.0328673,0.297745,-0.219386,1.6738,0,
2.939,0.449553,-1.14697,0.829943,-0.867305,1.37613,0.164839,0.0529445,0.0750367,-2.53671,5.22894,-1.14697,0.829943,-0.867305,1.37613,0.0529445,0.0750367,-2.53671,5.22894,0.449553,2.29449,-0.00646207,0.833573,0.132528,-0.0677672,0.06194,0.358116,0.034118,0.29282,-0.20578,1.67924,0,
2.94,0.449717,-1.14691,0.83001,-0.869848,1.38135,0.164302,0.0570707,0.0664073,-2.54265,5.2203,-1.14691,0.83001,-0.869848,1.38135,0.0570707,0.0664073,-2.54265,5.2203,0.449717,2.2938,-0.00620204,0.833608,0.132815,-0.0679595,0.063621,0.358308,0.0353564,0.28778,-0.191776,1.6837,0,
2.941,0.449881,-1.14685,0.830067,-0.872396,1.38656,0.163849,0.0611307,0.0576509,-2.54747,5.2087,-1.14685,0.830067,-0.872396,1.38656,0.0611307,0.0576509,-2.54747,5.2087,0.449881,2.29314,-0.00594106,0.833645,0.133098,-0.0681373,0.0653055,0.358429,0.0365813,0.28263,-0.17739,1.68715,0,
2.942,0.450044,-1.14678,0.830116,-0.874947,1.39175,0.163478,0.0651211,0.0487743,-2.55119,5.19418,-1.14678,0.830116,-0.874947,1.39175,0.0651211,0.0487743,-2.55119,5.19418,0.450044,2.2925,-0.00567914,0.833683,0.133375,-0.0683004,0.0669924,0.358481,0.0377915,0.277373,-0.162635,1.68961,0,
2.943,0.450208,-1.14672,0.830156,-0.877501,1.39693,0.16319,0.0690387,0.0397844,-2.55382,5.17677,-1.14672,0.830156,-0.877501,1.39693,0.0690387,0.0397844,-2.55382,5.17677,0.450208,2.2919,-0.00541627,0.833722,0.133647,-0.0684483,0.0686809,0.358466,0.0389861,0.272013,-0.147524,1.69106,0,
2.944,0.450371,-1.14664,0.830186,-0.880056,1.40209,0.162984,0.0728807,0.0306879,-2.55537,5.1565,-1.14664,0.830186,-0.880056,1.40209,0.0728807,0.0306879,-2.55537,5.1565,0.450371,2.29132,-0.00515246,0.833762,0.133914,-0.0685807,0.0703698,0.358384,0.040164,0.266553,-0.132073,1.69152,0,
2.945,0.450533,-1.14657,0.830208,-0.882612,1.40722,0.162861,0.076644,0.021491,-2.55586,5.13343,-1.14657,0.830208,-0.882612,1.40722,0.076644,0.021491,-2.55586,5.13343,0.450533,2.29077,-0.00488772,0.833803,0.134175,-0.0686974,0.0720583,0.358236,0.0413242,0.260996,-0.116295,1.69097,0,
2.946,0.450696,-1.14649,0.83022,-0.885167,1.41233,0.162821,0.080326,0.0122,-2.55528,5.10758,-1.14649,0.83022,-0.885167,1.41233,0.080326,0.0122,-2.55528,5.10758,0.450696,2.29024,-0.00462203,0.833846,0.13443,-0.0687979,0.0737452,0.358023,0.0424658,0.255347,-0.100204,1.68942,0,
2.947,0.450859,-1.1464,0.830223,-0.887721,1.41741,0.162862,0.0839239,0.00282089,-2.55365,5.07899,-1.1464,0.830223,-0.887721,1.41741,0.0839239,0.00282089,-2.55365,5.07899,0.450859,2.28975,-0.00435542,0.83389,0.13468,-0.068882,0.0754296,0.357748,0.0435879,0.249607,-0.0838145,1.68687,0,
2.948,0.451022,-1.14631,0.830216,-0.890272,1.42246,0.162986,0.0874353,-0.00664042,-2.55099,5.04771,-1.14631,0.830216,-0.890272,1.42246,0.0874353,-0.00664042,-2.55099,5.04771,0.451022,2.28928,-0.00408789,0.833934,0.134924,-0.0689494,0.0771105,0.35741,0.0446896,0.243781,-0.0671394,1.68333,0,
2.949,0.451185,-1.14622,0.8302,-0.892819,1.42747,0.163191,0.0908577,-0.0161783,-2.54729,5.01377,-1.14622,0.8302,-0.892819,1.42747,0.0908577,-0.0161783,-2.54729,5.01377,0.451185,2.28884,-0.00381943,0.83398,0.135162,-0.0689998,0.0787869,0.357012,0.0457701,0.237871,-0.0501928,1.67879,0,
2.95,0.451349,-1.14613,0.830174,-0.895362,1.43245,0.163478,0.094189,-0.0257872,-2.54258,4.97721,-1.14613,0.830174,-0.895362,1.43245,0.094189,-0.0257872,-2.54258,4.97721,0.451349,2.28843,-0.00355006,0.834027,0.135394,-0.069033,0.0804578,0.356555,0.0468286,0.23188,-0.0329883,1.67327,0,
2.951,0.451513,-1.14603,0.830139,-0.897898,1.43738,0.163847,0.097427,-0.0354618,-2.53687,4.93808,-1.14603,0.830139,-0.897898,1.43738,0.097427,-0.0354618,-2.53687,4.93808,0.451513,2.28805,-0.00327978,0.834075,0.135619,-0.0690487,0.0821223,0.35604,0.0478644,0.225812,-0.0155395,1.66676,0,
2.952,0.451677,-1.14593,0.830094,-0.900429,1.44228,0.164296,0.10057,-0.045197,-2.53015,4.8964,-1.14593,0.830094,-0.900429,1.44228,0.10057,-0.045197,-2.53015,4.8964,0.451677,2.2877,-0.0030086,0.834124,0.135839,-0.0690467,0.0837793,0.355469,0.0488767,0.219669,0.00214032,1.65926,0,
2.953,0.451842,-1.14583,0.830039,-0.902951,1.44713,0.164826,0.103615,-0.0549876,-2.52244,4.85224,-1.14583,0.830039,-0.902951,1.44713,0.103615,-0.0549876,-2.52244,4.85224,0.451842,2.28737,-0.00273653,0.834174,0.136052,-0.0690268,0.0854279,0.354842,0.0498649,0.213454,0.0200379,1.6508,0,
2.954,0.452007,-1.14572,0.829974,-0.905465,1.45194,0.165436,0.106561,-0.0648287,-2.51376,4.80562,-1.14572,0.829974,-0.905465,1.45194,0.106561,-0.0648287,-2.51376,4.80562,0.452007,2.28707,-0.00246357,0.834224,0.13626,-0.0689887,0.0870671,0.354162,0.0508283,0.207169,0.0381402,1.64136,0,
2.955,0.452173,-1.14561,0.829899,-0.907969,1.4567,0.166127,0.109407,-0.0747157,-2.5041,4.75659,-1.14561,0.829899,-0.907969,1.4567,0.109407,-0.0747157,-2.5041,4.75659,0.452173,2.28681,-0.00218974,0.834276,0.13646,-0.0689323,0.088696,0.353429,0.0517663,0.200818,0.0564343,1.63096,0,
2.956,0.45234,-1.1455,0.829814,-0.910462,1.4614,0.166896,0.11215,-0.0846439,-2.49349,4.70519,-1.1455,0.829814,-0.910462,1.4614,0.11215,-0.0846439,-2.49349,4.70519,0.45234,2.28657,-0.00191503,0.834329,0.136655,-0.0688574,0.0903135,0.352646,0.0526784,0.194402,0.0749074,1.6196,0,
2.957,0.452508,-1.14538,0.82972,-0.912944,1.46605,0.167745,0.114789,-0.0946088,-2.48192,4.65147,-1.14538,0.82972,-0.912944,1.46605,0.114789,-0.0946088,-2.48192,4.65147,0.452508,2.28636,-0.00163947,0.834382,0.136843,-0.0687638,0.0919188,0.351813,0.0535639,0.187926,0.0935471,1.6073,0,
2.958,0.452677,-1.14527,0.829615,-0.915414,1.47065,0.168673,0.117323,-0.104606,-2.46941,4.59545,-1.14527,0.829615,-0.915414,1.47065,0.117323,-0.104606,-2.46941,4.59545,0.452677,2.28618,-0.00136305,0.834437,0.137024,-0.0686514,0.093511,0.350933,0.0544224,0.18139,0.112341,1.59406,0,
2.959,0.452846,-1.14515,0.829501,-0.91787,1.47518,0.169678,0.11975,-0.114631,-2.45597,4.5372,-1.14515,0.829501,-0.91787,1.47518,0.11975,-0.114631,-2.45597,4.5372,0.452846,2.28602,-0.0010858,0.834492,0.137199,-0.06852,0.095089,0.350006,0.0552534,0.174798,0.131277,1.57989,0,
2.96,0.453017,-1.14503,0.829376,-0.920311,1.47966,0.170762,0.12207,-0.12468,-2.44159,4.47674,-1.14503,0.829376,-0.920311,1.47966,0.12207,-0.12468,-2.44159,4.47674,0.453017,2.2859,-0.000807709,0.834548,0.137367,-0.0683696,0.0966519,0.349033,0.0560563,0.168151,0.150343,1.5648,0,
2.961,0.453189,-1.1449,0.829241,-0.922738,1.48408,0.171922,0.124281,-0.134749,-2.4263,4.41413,-1.1449,0.829241,-0.922738,1.48408,0.124281,-0.134749,-2.4263,4.41413,0.453189,2.28581,-0.000528801,0.834605,0.137529,-0.0681999,0.098199,0.348018,0.0568309,0.161454,0.169527,1.5488,0,
2.962,0.453362,-1.14478,0.829096,-0.925148,1.48843,0.173159,0.126382,-0.144834,-2.4101,4.3494,-1.14478,0.829096,-0.925148,1.48843,0.126382,-0.144834,-2.4101,4.3494,0.453362,2.28574,-0.000249084,0.834663,0.137683,-0.0680109,0.0997291,0.346959,0.0575766,0.154707,0.188818,1.53189,0,
2.963,0.453537,-1.14465,0.828941,-0.927541,1.49271,0.174472,0.128372,-0.154931,-2.393,4.2826,-1.14465,0.828941,-0.927541,1.49271,0.128372,-0.154931,-2.393,4.2826,0.453537,2.28571,3.14297e-05,0.834721,0.137831,-0.0678025,0.101242,0.345861,0.0582931,0.147913,0.208204,1.5141,0,
2.964,0.453712,-1.14452,0.828776,-0.929916,1.49692,0.17586,0.130251,-0.165036,-2.375,4.21377,-1.14452,0.828776,-0.929916,1.49692,0.130251,-0.165036,-2.375,4.21377,0.453712,2.2857,0.000312729,0.83478,0.137972,-0.0675746,0.102735,0.344722,0.0589801,0.141075,0.227675,1.49543,0,
2.965,0.45389,-1.14438,0.828601,-0.932272,1.50106,0.177323,0.132017,-0.175146,-2.35611,4.14295,-1.14438,0.828601,-0.932272,1.50106,0.132017,-0.175146,-2.35611,4.14295,0.45389,2.28573,0.000594802,0.83484,0.138106,-0.0673271,0.10421,0.343546,0.0596372,0.134194,0.247219,1.4759,0,
2.966,0.454069,-1.14425,0.828416,-0.934608,1.50513,0.17886,0.13367,-0.185256,-2.33635,4.07018,-1.14425,0.828416,-0.934608,1.50513,0.13367,-0.185256,-2.33635,4.07018,0.454069,2.28578,0.000877635,0.8349,0.138234,-0.0670599,0.105664,0.342333,0.0602642,0.127274,0.266826,1.45551,0,
2.967,0.454249,-1.14412,0.828221,-0.936924,1.50913,0.18047,0.13521,-0.195364,-2.31571,3.99552,-1.14412,0.828221,-0.936924,1.50913,0.13521,-0.195364,-2.31571,3.99552,0.454249,2.28587,0.00116122,0.834961,0.138354,-0.0667731,0.107097,0.341085,0.0608607,0.120316,0.286485,1.43428,0,
2.968,0.454431,-1.14398,0.828015,-0.939218,1.51305,0.182153,0.136635,-0.205465,-2.2942,3.91899,-1.14398,0.828015,-0.939218,1.51305,0.136635,-0.205465,-2.2942,3.91899,0.454431,2.28598,0.00144553,0.835022,0.138467,-0.0664666,0.108507,0.339803,0.0614264,0.113323,0.306186,1.41222,0,
2.969,0.454615,-1.14384,0.8278,-0.94149,1.51689,0.183908,0.137946,-0.215557,-2.27184,3.84065,-1.14384,0.8278,-0.94149,1.51689,0.137946,-0.215557,-2.27184,3.84065,0.454615,2.28612,0.00173056,0.835084,0.138574,-0.0661403,0.109896,0.338488,0.0619613,0.106296,0.325919,1.38936,0,
2.97,0.454801,-1.1437,0.827574,-0.943739,1.52065,0.185734,0.139141,-0.225636,-2.24862,3.76053,-1.1437,0.827574,-0.943739,1.52065,0.139141,-0.225636,-2.24862,3.76053,0.454801,2.2863,0.0020163,0.835147,0.138673,-0.0657942,0.11126,0.337142,0.0624649,0.0992391,0.345674,1.36569,0,
2.971,0.454988,-1.14356,0.827338,-0.945963,1.52433,0.18763,0.140222,-0.235698,-2.22456,3.67868,-1.14356,0.827338,-0.945963,1.52433,0.140222,-0.235698,-2.22456,3.67868,0.454988,2.2865,0.00230274,0.83521,0.138765,-0.0654284,0.1126,0.335766,0.0629372,0.0921533,0.365442,1.34124,0,
2.972,0.455178,-1.14342,0.827093,-0.948163,1.52792,0.189596,0.141187,-0.245741,-2.19966,3.59515,-1.14342,0.827093,-0.948163,1.52792,0.141187,-0.245741,-2.19966,3.59515,0.455178,2.28674,0.00258984,0.835273,0.13885,-0.0650427,0.113915,0.334362,0.063378,0.0850412,0.385212,1.31602,0,
2.973,0.45537,-1.14328,0.826837,-0.950337,1.53143,0.19163,0.142036,-0.255761,-2.17392,3.50997,-1.14328,0.826837,-0.950337,1.53143,0.142036,-0.255761,-2.17392,3.50997,0.45537,2.287,0.00287761,0.835337,0.138928,-0.0646373,0.115204,0.33293,0.0637872,0.077905,0.404977,1.29005,0,
2.974,0.455563,-1.14314,0.826571,-0.952484,1.53486,0.193733,0.142769,-0.265755,-2.14736,3.42318,-1.14314,0.826571,-0.952484,1.53486,0.142769,-0.265755,-2.14736,3.42318,0.455563,2.28729,0.00316603,0.835401,0.138999,-0.0642121,0.116466,0.331471,0.0641645,0.070747,0.424727,1.26333,0,
2.975,0.455759,-1.14299,0.826295,-0.954604,1.53819,0.195902,0.143386,-0.275719,-2.11998,3.33484,-1.14299,0.826295,-0.954604,1.53819,0.143386,-0.275719,-2.11998,3.33484,0.455759,2.28762,0.00345507,0.835466,0.139062,-0.0637672,0.117701,0.329988,0.0645098,0.0635694,0.444453,1.2359,0,
2.976,0.455957,-1.14285,0.82601,-0.956696,1.54144,0.198138,0.143888,-0.285651,-2.09179,3.24498,-1.14285,0.82601,-0.956696,1.54144,0.143888,-0.285651,-2.09179,3.24498,0.455957,2.28797,0.00374473,0.835531,0.139119,-0.0633025,0.118908,0.328481,0.0648232,0.0563746,0.464146,1.20777,0,
2.977,0.456158,-1.1427,0.825714,-0.958759,1.54459,0.200438,0.144273,-0.295547,-2.06279,3.15364,-1.1427,0.825714,-0.958759,1.54459,0.144273,-0.295547,-2.06279,3.15364,0.456158,2.28836,0.00403498,0.835596,0.139168,-0.0628182,0.120086,0.326951,0.0651044,0.0491647,0.483799,1.17894,0,
2.978,0.456361,-1.14256,0.825409,-0.960792,1.54765,0.202803,0.144543,-0.305404,-2.03299,3.06087,-1.14256,0.825409,-0.960792,1.54765,0.144543,-0.305404,-2.03299,3.06087,0.456361,2.28877,0.00432581,0.835661,0.13921,-0.0623143,0.121234,0.3254,0.0653534,0.0419421,0.503403,1.14945,0,
2.979,0.456566,-1.14241,0.825093,-0.962794,1.55062,0.205232,0.144697,-0.31522,-2.0024,2.96672,-1.14241,0.825093,-0.962794,1.55062,0.144697,-0.31522,-2.0024,2.96672,0.456566,2.28922,0.00461721,0.835727,0.139245,-0.0617908,0.122353,0.323828,0.0655702,0.0347092,0.52295,1.1193,0,
2.98,0.456774,-1.14227,0.824768,-0.964765,1.55349,0.207722,0.144736,-0.32499,-1.97102,2.87122,-1.14227,0.824768,-0.964765,1.55349,0.144736,-0.32499,-1.97102,2.87122,0.456774,2.28969,0.00490914,0.835792,0.139272,-0.0612479,0.123441,0.322237,0.0657547,0.0274681,0.542432,1.08852,0,
2.981,0.456984,-1.14213,0.824434,-0.966704,1.55626,0.210274,0.144659,-0.334712,-1.93886,2.77442,-1.14213,0.824434,-0.966704,1.55626,0.144659,-0.334712,-1.93886,2.77442,0.456984,2.2902,0.00520161,0.835858,0.139292,-0.0606855,0.124497,0.320628,0.0659068,0.0202212,0.561842,1.05712,0,
2.982,0.457197,-1.14198,0.824089,-0.96861,1.55894,0.212886,0.144468,-0.344383,-1.90593,2.67635,-1.14198,0.824089,-0.96861,1.55894,0.144468,-0.344383,-1.90593,2.67635,0.457197,2.29074,0.00549458,0.835924,0.139305,-0.0601038,0.125521,0.319001,0.0660266,0.012971,0.581172,1.02512,0,
2.983,0.457412,-1.14184,0.823735,-0.970482,1.56152,0.215558,0.144162,-0.354,-1.87224,2.57707,-1.14184,0.823735,-0.970482,1.56152,0.144162,-0.354,-1.87224,2.57707,0.457412,2.29131,0.00578805,0.835991,0.139311,-0.0595028,0.126513,0.317358,0.0661141,0.00571979,0.600415,0.992548,0,
2.984,0.457631,-1.14169,0.823372,-0.97232,1.56399,0.218288,0.143741,-0.363559,-1.83778,2.47662,-1.14169,0.823372,-0.97232,1.56399,0.143741,-0.363559,-1.83778,2.47662,0.457631,2.2919,0.00608198,0.836057,0.139309,-0.0588827,0.127472,0.315699,0.0661692,-0.00153007,0.619564,0.959412,0,
2.985,0.457852,-1.14155,0.822999,-0.974122,1.56637,0.221075,0.143207,-0.373058,-1.80257,2.37504,-1.14155,0.822999,-0.974122,1.56637,0.143207,-0.373058,-1.80257,2.37504,0.457852,2.29253,0.00637636,0.836123,0.139301,-0.0582435,0.128397,0.314027,0.066192,-0.00877611,0.638611,0.925736,0,
2.986,0.458076,-1.14141,0.822616,-0.975889,1.56864,0.223918,0.142559,-0.382494,-1.76662,2.27237,-1.14141,0.822616,-0.975889,1.56864,0.142559,-0.382494,-1.76662,2.27237,0.458076,2.29319,0.00667118,0.836189,0.139285,-0.0575855,0.129288,0.31234,0.0661824,-0.0160159,0.657551,0.891538,0,
2.987,0.458302,-1.14127,0.822224,-0.977619,1.57081,0.226817,0.141798,-0.391862,-1.72993,2.16866,-1.14127,0.822224,-0.977619,1.57081,0.141798,-0.391862,-1.72993,2.16866,0.458302,2.29388,0.00696641,0.836255,0.139261,-0.0569086,0.130145,0.310641,0.0661406,-0.023247,0.676376,0.856839,0,
2.988,0.458532,-1.14112,0.821823,-0.979311,1.57287,0.229769,0.140925,-0.401161,-1.69252,2.06394,-1.14112,0.821823,-0.979311,1.57287,0.140925,-0.401161,-1.69252,2.06394,0.458532,2.2946,0.00726203,0.836322,0.139231,-0.056213,0.130966,0.30893,0.0660666,-0.0304668,0.69508,0.821659,0,
2.989,0.458765,-1.14098,0.821413,-0.980966,1.57483,0.232774,0.13994,-0.410387,-1.65438,1.95827,-1.14098,0.821413,-0.980966,1.57483,0.13994,-0.410387,-1.65438,1.95827,0.458765,2.29535,0.00755803,0.836388,0.139193,-0.0554988,0.131751,0.307209,0.0659604,-0.037673,0.713656,0.786019,0,
2.99,0.459001,-1.14085,0.820993,-0.982581,1.57668,0.235831,0.138843,-0.419537,-1.61554,1.85169,-1.14085,0.820993,-0.982581,1.57668,0.138843,-0.419537,-1.61554,1.85169,0.459001,2.29613,0.00785438,0.836453,0.139148,-0.0547662,0.132501,0.305477,0.065822,-0.0448628,0.732098,0.749937,0,
2.991,0.45924,-1.14071,0.820565,-0.984157,1.57843,0.238939,0.137635,-0.428608,-1.57599,1.74424,-1.14071,0.820565,-0.984157,1.57843,0.137635,-0.428608,-1.57599,1.74424,0.45924,2.29694,0.00815106,0.836519,0.139096,-0.0540153,0.133214,0.303735,0.0656516,-0.0520338,0.7504,0.713437,0,
2.992,0.459482,-1.14057,0.820127,-0.985693,1.58006,0.242095,0.136317,-0.437596,-1.53574,1.63596,-1.14057,0.820127,-0.985693,1.58006,0.136317,-0.437596,-1.53574,1.63596,0.459482,2.29779,0.00844805,0.836585,0.139037,-0.0532463,0.13389,0.301985,0.0654492,-0.0591834,0.768556,0.676537,0,
2.993,0.459727,-1.14044,0.819681,-0.987188,1.58159,0.245301,0.134889,-0.446499,-1.49481,1.52689,-1.14044,0.819681,-0.987188,1.58159,0.134889,-0.446499,-1.49481,1.52689,0.459727,2.29866,0.00874532,0.83665,0.138971,-0.0524593,0.134529,0.300227,0.0652149,-0.0663089,0.786561,0.63926,0,
2.994,0.459976,-1.1403,0.819225,-0.988641,1.58301,0.248553,0.133352,-0.455313,-1.45321,1.41709,-1.1403,0.819225,-0.988641,1.58301,0.133352,-0.455313,-1.45321,1.41709,0.459976,2.29956,0.00904287,0.836715,0.138897,-0.0516545,0.13513,0.298462,0.0649488,-0.0734077,0.804407,0.601626,0,
2.995,0.460228,-1.14017,0.818761,-0.990052,1.58431,0.251851,0.131707,-0.464035,-1.41094,1.3066,-1.14017,0.818761,-0.990052,1.58431,0.131707,-0.464035,-1.41094,1.3066,0.460228,2.30049,0.00934067,0.83678,0.138817,-0.050832,0.135694,0.296689,0.064651,-0.0804771,0.82209,0.563657,0,
2.996,0.460483,-1.14004,0.818289,-0.99142,1.58551,0.255194,0.129954,-0.472662,-1.36802,1.19545,-1.14004,0.818289,-0.99142,1.58551,0.129954,-0.472662,-1.36802,1.19545,0.460483,2.30146,0.00963868,0.836844,0.138729,-0.049992,0.136219,0.294911,0.0643215,-0.0875144,0.839604,0.525374,0,
2.997,0.460741,-1.13991,0.817807,-0.992745,1.58659,0.258581,0.128094,-0.481191,-1.32446,1.08369,-1.13991,0.817807,-0.992745,1.58659,0.128094,-0.481191,-1.32446,1.08369,0.460741,2.30245,0.00993691,0.836908,0.138635,-0.0491347,0.136705,0.293127,0.0639605,-0.094517,0.856943,0.4868,0,
2.998,0.461003,-1.13979,0.817318,-0.994025,1.58757,0.262009,0.126127,-0.489618,-1.28026,0.971375,-1.13979,0.817318,-0.994025,1.58757,0.126127,-0.489618,-1.28026,0.971375,0.461003,2.30348,0.0102353,0.836972,0.138533,-0.0482603,0.137153,0.291338,0.0635681,-0.101482,0.874101,0.447955,0,
2.999,0.461269,-1.13966,0.81682,-0.99526,1.58842,0.265479,0.124055,-0.497941,-1.23545,0.858538,-1.13966,0.81682,-0.99526,1.58842,0.124055,-0.497941,-1.23545,0.858538,0.461269,2.30453,0.0105339,0.837035,0.138425,-0.047369,0.137561,0.289545,0.0631445,-0.108407,0.891074,0.408861,0,
3,0.461538,-1.13954,0.816314,-0.99645,1.58917,0.268989,0.121877,-0.506155,-1.19002,0.745226,-1.13954,0.816314,-0.99645,1.58917,0.121877,-0.506155,-1.19002,0.745226,0.461538,2.30561,0.0108326,0.837097,0.13831,-0.0464609,0.137931,0.287748,0.0626896,-0.115288,0.907857,0.369541,0,
3.001,0.46181,-1.13942,0.815799,-0.997594,1.5898,0.272538,0.119596,-0.514257,-1.14401,0.631484,-1.13942,0.815799,-0.997594,1.5898,0.119596,-0.514257,-1.14401,0.631484,0.46181,2.30673,0.0111314,0.83716,0.138188,-0.0455362,0.13826,0.285947,0.0622037,-0.122124,0.924443,0.330016,0,
3.002,0.462087,-1.13931,0.815277,-0.998692,1.59032,0.276124,0.11721,-0.522246,-1.09741,0.517356,-1.13931,0.815277,-0.998692,1.59032,0.11721,-0.522246,-1.09741,0.517356,0.462087,2.30787,0.0114303,0.837221,0.138059,-0.0445952,0.13855,0.284143,0.0616868,-0.128911,0.940827,0.290309,0,
3.003,0.462366,-1.13919,0.814747,-0.999742,1.59072,0.279747,0.114723,-0.530116,-1.05024,0.402886,-1.13919,0.814747,-0.999742,1.59072,0.114723,-0.530116,-1.05024,0.402886,0.462366,2.30904,0.0117293,0.837283,0.137923,-0.043638,0.138801,0.282337,0.0611392,-0.135646,0.957005,0.250441,0,
3.004,0.46265,-1.13908,0.814209,-1.00074,1.59101,0.283405,0.112133,-0.537864,-1.00252,0.28812,-1.13908,0.814209,-1.00074,1.59101,0.112133,-0.537864,-1.00252,0.28812,0.46265,2.31025,0.0120283,0.837343,0.137781,-0.0426649,0.139011,0.280529,0.0605609,-0.142327,0.972971,0.210435,0,
